Gene_ID,Product description,Gene Identification,MIS,MFS
PF3D7_0216700.1,"autophagy-related protein 11, putative",Non - Mutable in CDS,0.12,-2.998
PF3D7_0216800,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.399,-2.547
PF3D7_0216900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.104
PF3D7_0217000,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,0.002
PF3D7_0217100,"ATP synthase F1, alpha subunit",Non - Mutable in CDS,0.141,-2.779
PF3D7_0217200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.198,-2.728
PF3D7_0217300,"AP-2 complex subunit sigma, putative",Non - Mutable in CDS,0.198,0
PF3D7_0217400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.138,-2.82
PF3D7_0217500,calcium-dependent protein kinase 1,Non - Mutable in CDS,0.27,-2.631
PF3D7_0217600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.172,-2.811
PF3D7_0217700,"E2F-associated phosphoprotein, putative",Non - Mutable in CDS,0.668,-3.009
PF3D7_0217800,40S ribosomal protein S26,Non - Mutable in CDS,0.169,-2.899
PF3D7_0217900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.123,-2.997
PF3D7_0218000,"replication factor C subunit 2, putative",Non - Mutable in CDS,0.12,-3.168
PF3D7_0218100,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.145,-2.86
PF3D7_0218200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.565
PF3D7_0218300,"apicoplast RNA methyltransferase precursor, putative",Mutable in CDS,0.97,-2.069
PF3D7_0218400,"ATP-dependent RNA helicase DDX47, putative",Non - Mutable in CDS,0.126,-3.044
PF3D7_0218500,"small nuclear ribonucleoprotein Sm D2, putative",Non - Mutable in CDS,0.165,-3.319
PF3D7_0218600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.84,-3.005
PF3D7_0218700,"pre-mRNA-processing protein 45, putative",Non - Mutable in CDS,0.127,-3.175
PF3D7_0219100,"conserved protein, unknown function",Mutable in CDS,1,0.843
PF3D7_0219200,40S ribosomal protein S30,Non - Mutable in CDS,0.125,-3.066
PF3D7_0219300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.923,0
PF3D7_0219400.1,"ribosome associated membrane protein RAMP4, putative, unspecified product",Non - Mutable in CDS,0.146,-3.231
PF3D7_0219500,"pseudouridine synthase, putative",Mutable in CDS,1,-1.492
PF3D7_0219600,"replication factor C subunit 1, putative",Non - Mutable in CDS,0.125,-2.912
PF3D7_0219700,"Plasmodium exported protein (PHISTc), unknown function",Non - Mutable in CDS,0.137,-3.471
PF3D7_0219800,"Plasmodium exported protein (PHISTc), unknown function",Mutable in CDS,1,-2.084
PF3D7_0219900,"Plasmodium exported protein, unknown function",Non - Mutable in CDS,0.228,-3.439
PF3D7_0220000,liver stage antigen 3,Mutable in CDS,1,-0.002
PF3D7_0220100,"DnaJ protein, putative",Non - Mutable in CDS,0.125,-3.131
PF3D7_0220200,"Plasmodium exported protein, unknown function",Non - Mutable in CDS,0.339,-3.604
PF3D7_0220300,"Plasmodium exported protein, unknown function",Mutable in CDS,0.817,-2.119
PF3D7_0220400,"DnaJ protein, putative, pseudogene",Mutable in CDS,1,-1.511
PF3D7_0220500,"Plasmodium exported protein (hyp2), unknown function",Non - Mutable in CDS,0.126,-3.119
PF3D7_0220600,"Plasmodium exported protein (hyp9), unknown function",Non - Mutable in CDS,0.132,-3.046
PF3D7_0220700,"Plasmodium exported protein (hyp9), unknown function",Non - Mutable in CDS,0.124,-2.734
PF3D7_0220800,cytoadherence linked asexual protein 2,Mutable in CDS,1,0.04
PF3D7_0220900,"Plasmodium exported protein, unknown function, pseudogene",Non - Mutable in CDS,0.389,-3.298
PF3D7_0221000,"Plasmodium exported protein, unknown function",Mutable in CDS,0.997,-2.773
PF3D7_0221100,"Plasmodium exported protein, unknown function, pseudogene",Mutable in CDS,0.979,-2.744
PF3D7_0221200,"Plasmodium exported protein (hyp15), unknown function",Mutable in CDS,0.94,-2.907
PF3D7_0221300,"Plasmodium exported protein, unknown function, pseudogene",Non - Mutable in CDS,0.135,-2.91
PF3D7_0221400,stevor,Non - Mutable in CDS,0.861,-2.451
PF3D7_0221500,"Pfmc-2TM Maurer's cleft two transmembrane protein, pseudogene",Non - Mutable in CDS,0.122,-2.964
PF3D7_0221600,"Plasmodium exported protein, unknown function, pseudogene",Non - Mutable in CDS,0.124,-2.84
PF3D7_0221700,"Plasmodium exported protein, unknown function",Mutable in CDS,0.999,-0.891
PF3D7_0221800,hypothetical protein,Non - Mutable in CDS,0.12,-3.079
PF3D7_0221900,"erythrocyte membrane protein 1 (PfEMP1), pseudogene",Mutable in CDS,1,-0.998
PF3D7_0222000,exported protein family 1,Non - Mutable in CDS,0.127,-2.783
PF3D7_0222100,Pfmc-2TM Maurer's cleft two transmembrane protein,Mutable in CDS,1,-0.777
PF3D7_0222200,exported protein family 3,Mutable in CDS,0.795,-2.999
PF3D7_0222300,"exported protein family 4, pseudogene",Non - Mutable in CDS,0.126,-2.935
PF3D7_0222400,"rifin, pseudogene",Non - Mutable in CDS,0.885,-2.189
PF3D7_0222500,rifin,Non - Mutable in CDS,0.691,-2.535
PF3D7_0222600,rifin,Non - Mutable in CDS,0.754,-2.463
PF3D7_0222700,rifin,Non - Mutable in CDS,0.647,-2.297
PF3D7_0222800,stevor,Non - Mutable in CDS,0.256,-2.511
PF3D7_0222900,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",Non - Mutable in CDS,0.754,-2.487
PF3D7_0223100,rifin,Non - Mutable in CDS,0.18,-2.762
PF3D7_0223200,rifin,Non - Mutable in CDS,1,-1.645
PF3D7_0223300,"erythrocyte membrane protein 1 (PfEMP1), exon 2",Non - Mutable in CDS,0.943,-2.01
PF3D7_0223400,rifin,Non - Mutable in CDS,0.344,-2.339
PF3D7_0300100,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,0.144
PF3D7_0300200,rifin,Non - Mutable in CDS,0.126,-3.038
PF3D7_0300300,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",Non - Mutable in CDS,0.784,-2.186
PF3D7_0300400,stevor,Non - Mutable in CDS,0.561,-2.368
PF3D7_0300500,rifin,Mutable in CDS,0.997,-2.175
PF3D7_0300600,"Plasmodium exported protein, unknown function, fragment",Non - Mutable in CDS,0.128,-2.728
PF3D7_0300700,rifin,Non - Mutable in CDS,0.982,-2.016
PF3D7_0300800,rifin,Mutable in CDS,0.999,-1.649
PF3D7_0300900,stevor-like,Non - Mutable in CDS,0.274,-2.663
PF3D7_0301000,acyl-CoA synthetase,Non - Mutable in CDS,0.121,-2.996
PF3D7_0301100,"Plasmodium exported protein (hyp13), unknown function",Non - Mutable in CDS,0.124,-3.204
PF3D7_0301200,"serine/threonine protein kinase, FIKK family",Non - Mutable in CDS,0.129,-3.073
PF3D7_0301300,"alpha/beta hydrolase, putative",Mutable in CDS,0.981,-1.86
PF3D7_0301400,"Plasmodium exported protein, unknown function",Non - Mutable in CDS,0.171,-2.773
PF3D7_0301500,"Plasmodium exported protein, unknown function",Non - Mutable in CDS,0.12,-3.127
PF3D7_0301600,"Plasmodium exported protein (hyp1), unknown function",Mutable in CDS,0.996,-2.439
PF3D7_0301700,"Plasmodium exported protein, unknown function",Non - Mutable in CDS,0.898,-2.273
PF3D7_0301800,"Plasmodium exported protein, unknown function",Non - Mutable in CDS,0.32,-2.725
PF3D7_0301900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.141,-3.159
PF3D7_0302000,"pre-mRNA-splicing factor PRP46, putative",Non - Mutable in CDS,0.124,-3.009
PF3D7_0302100,serine/threonine protein kinase,Mutable in CDS,0.991,-2.546
PF3D7_0302200,cytoadherence linked asexual protein 3.2,Mutable in CDS,0.932,-2.926
PF3D7_0302300,"erythrocyte membrane protein 1 (PfEMP1), pseudogene",Mutable in CDS,1,-0.99
PF3D7_0302500,cytoadherence linked asexual protein 3.1,Mutable in CDS,1,-2.547
PF3D7_0302600,"ABC transporter B family member 4, putative",Mutable in CDS,1,-1.805
PF3D7_0302700,"CDGSH iron-sulfur domain-containing protein, putative",Non - Mutable in CDS,0.12,-2.948
PF3D7_0302800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.069
PF3D7_0302900,"exportin-1, putative",Non - Mutable in CDS,0.127,-3.224
PF3D7_0303000,N-ethylmaleimide-sensitive fusion protein,Non - Mutable in CDS,0.186,-3.241
PF3D7_0303100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.478
PF3D7_0303200,"HAD superfamily protein, putative",Non - Mutable in CDS,0.409,-2.458
PF3D7_0303300,"DNA-directed RNA polymerases I, II, and III subunit RPABC2, putative",Non - Mutable in CDS,0.147,-3.103
PF3D7_0303400,palmitoyltransferase DHHC1,Non - Mutable in CDS,0.127,-3.224
PF3D7_0303500,"spindle pole body protein, putative",Non - Mutable in CDS,0.124,-2.943
PF3D7_0303600,plasmoredoxin,Non - Mutable in CDS,0.185,-3.715
PF3D7_0303700,lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex,Mutable in CDS,0.576,-3.123
PF3D7_0303800,"IBR domain protein, putative",Mutable in CDS,0.96,-2.875
PF3D7_0303900,"phosphatidylethanolamine-binding protein, putative",Mutable in CDS,0.993,-2.694
PF3D7_0304000,"inner membrane complex protein 1a, putative",Mutable in CDS,1,-2.253
PF3D7_0304100,"inner membrane complex protein 1e, putative",Non - Mutable in CDS,0.858,-2.319
PF3D7_0304200,EH domain-containing protein,Mutable in CDS,0.73,0.766
PF3D7_0304300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.257
PF3D7_0304400.1,60S ribosomal protein L44,Non - Mutable in CDS,0.981,-2.234
PF3D7_0304500,1-cys-glutaredoxin-like protein-1,Non - Mutable in CDS,0.418,-2.494
PF3D7_0304600,circumsporozoite (CS) protein,Non - Mutable in CDS,0.962,-2.132
PF3D7_0304700,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.931
PF3D7_0304800,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.14,-2.945
PF3D7_0304900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.2,-2.864
PF3D7_0305000,elongation factor Ts,Non - Mutable in CDS,0.154,-2.741
PF3D7_0305100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.219
PF3D7_0305200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.894
PF3D7_0305300,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,-1.973
PF3D7_0305400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-2.994
PF3D7_0305500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.068
PF3D7_0305600,"AP endonuclease (DNA-[apurinic or apyrimidinic site] lyase), putative",Non - Mutable in CDS,0.166,-2.904
PF3D7_0305700,"ubiquitin-conjugating enzyme E2, putative",Non - Mutable in CDS,0.202,0
PF3D7_0305800,"P-loop containing nucleoside triphosphate hydrolase, putative",Mutable in CDS,1,0.524
PF3D7_0305900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.145,-2.704
PF3D7_0306000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.91,-2.849
PF3D7_0306100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.125,-2.924
PF3D7_0306200,activator of Hsp90 ATPase,Mutable in CDS,0.854,-3.363
PF3D7_0306300,glutaredoxin 1,Non - Mutable in CDS,0.134,-3.137
PF3D7_0306400,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative",Mutable in CDS,0.988,-2.349
PF3D7_0306500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.174,-2.693
PF3D7_0306600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.029
PF3D7_0306700,"membrane magnesium transporter, putative",Non - Mutable in CDS,0.449,-3.391
PF3D7_0306800,T-complex protein 1 subunit beta,Non - Mutable in CDS,0.191,-2.7
PF3D7_0306900,"40S ribosomal protein S23, putative",Non - Mutable in CDS,0.139,-2.925
PF3D7_0307100,"40S ribosomal protein S12, putative",Non - Mutable in CDS,0.474,-2.312
PF3D7_0307200,"60S ribosomal protein L7, putative",Non - Mutable in CDS,0.137,-3.165
PF3D7_0307300,"EB1 homolog, putative",Mutable in CDS,1,-1.844
PF3D7_0307400,ATP-dependent Clp protease proteolytic subunit,Non - Mutable in CDS,0.12,-3.078
PF3D7_0307500,"conserved protein, unknown function",Non - Mutable in CDS,0.12,-2.971
PF3D7_0307600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.923,-1.227
PF3D7_0307700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.776,-2.472
PF3D7_0307800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.152,-2.753
PF3D7_0307900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.196
PF3D7_0308000,"DNA polymerase delta small subunit, putative",Non - Mutable in CDS,0.129,-2.834
PF3D7_0308100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.095
PF3D7_0308200,T-complex protein 1 subunit eta,Non - Mutable in CDS,0.134,-3.235
PF3D7_0308300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-2.985
PF3D7_0308500,"activator of Hsp90 ATPase, putative",Non - Mutable in CDS,0.46,-2.208
PF3D7_0308600,"pre-mRNA-processing factor 19, putative",Non - Mutable in CDS,0.145,-2.928
PF3D7_0308700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-2.862
PF3D7_0308800,"conserved protein, unknown function",Non - Mutable in CDS,0.519,-2.639
PF3D7_0308900,"splicing factor 3B subunit 1, putative",Non - Mutable in CDS,0.12,-2.922
PF3D7_0309000,dual specificity protein phosphatase,Non - Mutable in CDS,0.13,-2.824
PF3D7_0309100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,1,0
PF3D7_0309200,"serine/threonine protein kinase, putative",Non - Mutable in CDS,0.199,-2.77
PF3D7_0309300,"N2227-like protein, putative",Mutable in CDS,1,-0.694
PF3D7_0309500,"asparagine synthetase [glutamine-hydrolyzing], putative",Mutable in CDS,1,-2.521
PF3D7_0309600,60S acidic ribosomal protein P2,Non - Mutable in CDS,0.132,-3.225
PF3D7_0309700,"SECIS-binding protein 2, putative",Mutable in CDS,1,0.173
PF3D7_0309800,"YTH domain-containing protein, putative",Non - Mutable in CDS,0.281,-2.656
PF3D7_0309900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.484
PF3D7_0310000,"50S ribosomal protein L9, apicoplast, putative",Non - Mutable in CDS,0.137,-2.751
PF3D7_0310100,calcium-dependent protein kinase 3,Mutable in CDS,1,-3.018
PF3D7_0310200,"phd finger protein, putative",Mutable in CDS,1,-2.583
PF3D7_0310300,"phosphoglycerate mutase, putative",Mutable in CDS,1,0.153
PF3D7_0310400,parasite-infected erythrocyte surface protein,Non - Mutable in CDS,0.192,-2.732
PF3D7_0310500,"ATP-dependent RNA helicase DHX57, putative",Mutable in CDS,0.979,-2.667
PF3D7_0310600.1,"eukaryotic translation initiation factor 3 subunit K, putative, unspecified product",Non - Mutable in CDS,0.211,-3.232
PF3D7_0310700,"trafficking protein particle complex subunit 4, putative",Non - Mutable in CDS,0.133,-2.731
PF3D7_0310800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.138,-3.06
PF3D7_0310900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.191,-2.707
PF3D7_0311000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.123,-3.032
PF3D7_0311100,"pre-mRNA splicing factor, putative",Mutable in CDS,1,-2.076
PF3D7_0311200,"valine--tRNA ligase, putative",Non - Mutable in CDS,0.12,-2.924
PF3D7_0311300,"phosphatidylinositol 3- and 4-kinase, putative",Non - Mutable in CDS,0.134,-2.974
PF3D7_0311400,"protein kinase, putative",Mutable in CDS,1,-2.03
PF3D7_0311500,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.754,0.908
PF3D7_0311600,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1, putative",Non - Mutable in CDS,0.136,-3.075
PF3D7_0311700,plasmepsin VI,Mutable in CDS,1,-0.936
PF3D7_0311800,"conserved protein, unknown function",Non - Mutable in CDS,0.12,-3.078
PF3D7_0311900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.078
PF3D7_0312000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.411,-2.236
PF3D7_0312100,"E3 ubiquitin-protein ligase, putative",Non - Mutable in CDS,0.169,-2.759
PF3D7_0312200,"tetratricopeptide repeat protein, putative",Mutable in CDS,1,-2.202
PF3D7_0312300,"26S proteasome regulatory subunit RPN12, putative",Non - Mutable in CDS,0.129,-3.194
PF3D7_0312400,glycogen synthase kinase 3,Non - Mutable in CDS,0.152,-2.791
PF3D7_0312500,"major facilitator superfamily-related transporter, putative",Mutable in CDS,1,-1.543
PF3D7_0312800,"60S ribosomal protein L26, putative",Non - Mutable in CDS,0.119,-3.099
PF3D7_0312900,hypothetical protein,Non - Mutable in CDS,0.989,-1.991
PF3D7_0313000,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.999,-1.935
PF3D7_0313100,"ubiquitin-protein ligase, putative",Non - Mutable in CDS,0.276,-2.628
PF3D7_0313200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.372,-2.587
PF3D7_0313300,"apicoplast conserved ycf19 protein precursor, unknown function",Non - Mutable in CDS,0.12,-3.133
PF3D7_0313400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.155,-2.815
PF3D7_0313500,Ras-like G protein,Non - Mutable in CDS,0.12,-3.123
PF3D7_0313600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.814,-2.108
PF3D7_0313700.1,"conserved Plasmodium protein, unknown function, unspecified product",Non - Mutable in CDS,0.128,-2.975
PF3D7_0313800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.126,-3.084
PF3D7_0313900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.457
PF3D7_0314000,co-chaperone p23,Non - Mutable in CDS,0.682,-2.312
PF3D7_0314100.1,"vesicle transport v-SNARE protein, putative",Non - Mutable in CDS,0.12,-2.94
PF3D7_0314200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.143,-3.219
PF3D7_0314300,DER1-like protein,Non - Mutable in CDS,0.141,-3.281
PF3D7_0314400,"serine/threonine protein phosphatase 6, putative",Non - Mutable in CDS,0.12,-3.016
PF3D7_0314500,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.985,-2.054
PF3D7_0314600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.404
PF3D7_0314700,"zinc finger protein, putative",Mutable in CDS,1,-0.196
PF3D7_0314800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-2.971
PF3D7_0314900,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,0.431
PF3D7_0315000,"zinc finger protein, putative",Mutable in CDS,0.608,-2.548
PF3D7_0315100,eukaryotic translation initiation factor 4E,Non - Mutable in CDS,0.335,-2.613
PF3D7_0315200,circumsporozoite- and TRAP-related protein,Mutable in CDS,1,0.068
PF3D7_0315300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.563
PF3D7_0315400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.044
PF3D7_0315500,"mitochondrial ribosomal protein L29/L47 precursor, putative",Non - Mutable in CDS,0.282,-3.718
PF3D7_0315600,"zinc finger protein, putative",Mutable in CDS,1,0.353
PF3D7_0315700,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,0.319
